Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y
81118,7/7/2018,Trash - Curbside/Alley Missed Pickup,"We are a condominium of six households. None of our trash has been collected since being put out on Thursday, July 5. Please do this  ASAP because of the summer heat.",104 braxton hill ct,37204,RED RIVER,3302S,25,1733942.098,640911.4782
81119,7/7/2018,Trash - Curbside/Alley Missed Pickup,Was not picked.,"221 15th Ave N, Nashville, TN 37203, United States",37203,METRO,9208,19,1734175.262,665184.6638
81129,7/7/2018,Trash - Curbside/Alley Missed Pickup,"I placed the cart at the curb before 6:45 AM on Saturday, July 7, per the holiday pick-up schedule.",2611 malden dr,37210,RED RIVER,4303,16,1753816.336,649596.898
81230,7/8/2018,Trash - Curbside/Alley Missed Pickup,Our neighbors cans were emptied but not ours.,960 battery ln,37220,RED RIVER,3302,25,1735063.199,639880.7704
81235,7/9/2018,Trash - Curbside/Alley Missed Pickup,didn't get all carts on street,1205 barkhill pl,37013,RED RIVER,4510,32,1785665.29,619231.7035
81416,7/9/2018,Trash - Curbside/Alley Missed Pickup,carts still on alley,"3504 Granny White Pike, Nashville, TN 37204, United States",37204,RED RIVER,4305,25,1734495.711,648020.4344
81427,7/9/2018,Trash - Curbside/Alley Missed Pickup,Holiday Pick-up not received.,2010 beech ave,37204,METRO,9401,17,1738010.733,656170.4991
81486,7/9/2018,Trash - Curbside/Alley Missed Pickup,cart is out,"319 Melvin Jones Dr, Nashville, TN 37217, United States",37217,RED RIVER,2504,28,1771611.773,642884.125
81487,7/9/2018,Trash Collection Complaint,"truck sludge, glass, and debris spilled into the driveway. customer wants a call back at 615-401-2928",3319 golf club ln,37215,METRO,9308,25,1729257.8,650309.7873
81762,7/10/2018,Trash Collection Complaint,"Sometime on July 7th, the scheduled sanitation truck came for pick-up and had some sort of mechanical failure while in our neighborhood. The truck left a constant flow of oil and greasy sludge on:

Glen West Drive
Chateau Glen Place
Glen Echo Place
Hillmont Drive entry onto Glen West",401 glen west dr,37215,RED RIVER,3305,25,1730042.965,646598.8883
81824,7/10/2018,Trash - Backdoor,cart is at same location behind red wood fence where it is always picked up,1111 Lipscomb Dr,37204,RED RIVER,3302,25,1732945.315,640857.0789
81844,7/10/2018,Trash Collection Complaint,fluids leaking and going to the front of his house,"878 Carter St, Nashville, TN 37206, United States",37206,METRO,9203,5,1745501.087,676619.4779
81903,7/10/2018,Trash Collection Complaint,States that the drivers are not doing their job thoroughly and she is very frustrated that every week the driver drops a bag out of her trash cart and just leaves it laying in the alley. She said there are carts and trash all up and down the alley. I explained that the drivers are not instructed to pick up bags outside of the cart and she did not understand why they will not get out of the truck to collect excess trash. needs a supervisor to contact her.,"706 Meridian St, Nashville, TN 37207, United States",37207,METRO,9202,5,1741572.73,674294.6841
81971,7/11/2018,Trash - Curbside/Alley Missed Pickup,Entire street,1201 Eastdale Ave,37216,RED RIVER,2203,7,1755907.079,689144.3895
82007,7/11/2018,Trash - Curbside/Alley Missed Pickup,entire street,1310 plymouth ave,37216,RED RIVER,2203,7,1758171.16,687751.6922
82049,7/11/2018,Trash Collection Complaint,Backdoor collection- states that the driver is running over her grass every time he collects. She said that her HOA requires them to have backdoor pick up. She is tired of him running in her grass and having to clean up the damage. Needs a call from supervisor- she has pictures she will share.,5026 Hill Place Dr,37205,RED RIVER,1304,23,1713148.53,651369.1891
82093,7/11/2018,Trash - Curbside/Alley Missed Pickup,Our entire street didnt receive pick up yesterday,3322 Curtis St,37218,RED RIVER,4202,2,1722262.3,681073.427
82098,7/11/2018,Trash - Curbside/Alley Missed Pickup,cart stays on alley,"1301 15th Ave S, Nashville, TN 37212, United States",37212,METRO,9407,17,1734861.945,659145.6996
82171,7/11/2018,Trash - Curbside/Alley Missed Pickup,still by curb,"609 Waco Dr, Nashville, TN 37209, United States",37209,RED RIVER,4201,20,1710974.024,665445.2862
82195,7/11/2018,Trash Collection Complaint,cart is on the street but,2403 scovel st,37208,METRO,9304,21,1728360.15,669352.1605
82227,7/11/2018,Trash - Curbside/Alley Missed Pickup,got only one side of street,"4316 Setters Rd, Nashville, TN 37218, United States",37218,RED RIVER,3203,1,1716042.086,684305.9113
82251,7/11/2018,Trash Collection Complaint,States that the Trash collectors sit in the corner of Winston and Robin and eat their lunch. While they sit there the truck leaks juice and the smell is terrible. He would like for them to stop doing that,901 Winston Pl A,37204,RED RIVER,4305,25,1738047.007,646834.1865
82297,7/11/2018,Trash Collection Complaint,Trash guy is hitting the dogwood tree when he collects the trash- 2 limbs have already fallen off of it. Needs trash guy to be more careful because he doesn't want the tree to die.,"2170 Golf Club Ln, Nashville, TN 37215, United States",37215,RED RIVER,2305S,25,1728727.795,650688.1186
82323,7/11/2018,Trash - Curbside/Alley Missed Pickup,The cart is out the night before. The problem this time no ones trash was collected.,5706 Tennessee Ave,37209,METRO,9302,20,1715355.665,666344.9961
82328,7/11/2018,Trash Collection Complaint,"Trash was compressed in several locations in our driveway leaving broken glass, screws, and smelly trash juice.  Please have someone come clean up the mess that was left behind.  This has been a recurring problem.  The broken glass/metal presents obvious hazards to humans, pets, and vehicles, etc.  Also the trash juice washes into the storm drains that go directly into Richland Creek.  Metro water periodically inspect the drains and we cannot be held liable for materials that end up in the storm drains that were left by the metro trash pickup.",109 West End Close,37205,METRO,9307,24,1723855.98,656500.0752
82347,7/12/2018,Trash - Curbside/Alley Missed Pickup,This has happened in multiple occasions.,2220 Albion St,37208,METRO,9303,21,1728862.42,667947.4208
82355,7/12/2018,Trash - Backdoor,cart stays out,"1132 Brookmeade Dr, Nashville, TN 37204, United States",37204,RED RIVER,3302,25,1733073.128,643813.5786
82358,7/12/2018,Trash - Curbside/Alley Missed Pickup,carts at driveway still,"130 Wilson Blvd, Nashville, TN 37205, United States",37205,METRO,9307,24,1722313.399,656563.8432
82359,7/12/2018,Trash - Curbside/Alley Missed Pickup,Trash/sit's on the 35th Ave N side curbside. {single family home},3500 Elkins Ave,37209,WASTE IND,3306,24,1724605.132,662603.7014
82412,7/12/2018,Trash - Curbside/Alley Missed Pickup,alley still out,"1514 22nd Ave N, Nashville, TN 37208, United States",37208,METRO,9208,21,1729017.321,670860.0541
82449,7/12/2018,Trash - Curbside/Alley Missed Pickup,N/A,514 Snyder Ave B,37209,RED RIVER,4201,20,1714383.586,663617.4156
82480,7/12/2018,Trash - Curbside/Alley Missed Pickup,***Address is 123 37th Ave. N. but driveway (where trash can is) is on Nebraska***,123 37th Ave N,37209,WASTE IND,2308,24,1723660.807,659454.2316
82524,7/12/2018,Damage to Property,The Garbage Truck is too big for my neighborhood Gloucester Square.  He keeps breaking limbs on. the trees by pulling up too close to houses and using the automated arm to lift the cans Previously crew would get out and empty cans into the back of the truck,2168 golf club ln,37215,RED RIVER,2305S,25,1728433.474,650814.3363
82552,7/12/2018,Trash - Curbside/Alley Missed Pickup,TIRED OF HAVING TO CALL,518 monroe st,37208,WASTE IND,3208,19,1735272.927,671876.6201
82567,7/12/2018,Damage to Property,Caller stated we cut her trees down at 707 Buchanan St. Trees she said are on private property not the right of way.,707 buchanan st,37208,WASTE IND,3207,19,1733389.97,674065.257
82595,7/12/2018,Trash - Curbside/Alley Missed Pickup,cust says driver looked and just drove by w/o pickup up the carts,3020 louise dr,37211,METRO,9408,16,1747701.134,645843.2973
82681,7/12/2018,Trash - Curbside/Alley Missed Pickup,didn't empty all of the cans,1035 archer st b,37203,METRO,9407,17,1737109.143,660306.1429
82768,7/13/2018,Trash - Curbside/Alley Missed Pickup,cart stays on alley,34 n hill st B,37210,WASTE IND,4409,17,1744081.147,660424.524
82786,7/13/2018,Trash Collection Complaint,"I submitted a request yesterday and the driver left trash all over the yard because the pick-ups are months in between. I need to know where to send an invoice for the cleaning crew. This is the 3rd time the driver has been careless and debris and trash has been left all over the year. Also, I have submitted several request to the supervisor without a single phone call back.",2324 Riverside Dr,37216,Metro,,7,1754637.201,682592.7772
82794,7/13/2018,Trash Collection Complaint,cust upset that a red river truck is spilling oil into the street throughout the neighborhood;,553 elaine dr,37211,RED RIVER,4302,26,1747909.165,637440.8955
82851,7/13/2018,Trash - Curbside/Alley Missed Pickup,Trash was put curbside night before,928 Elvira Ave B,37216,METRO,9505,5,1749819.556,682597.7023
82859,7/13/2018,Trash - Curbside/Alley Missed Pickup,cust says truck drove by w/o pickup up cart,580 castlegate dr,37217,RED RIVER,3505,29,1787537.254,637868.3144
82887,7/13/2018,Trash - Curbside/Alley Missed Pickup,"Not all items were bagged but they were acceptable trash items (large fast food containers, old pillows). Our trash isn't getting picked up regularly, this is the second time I have had to send in a request and there have been several other occasions where it has not gotten picked up.",2705 Hawthorne Pl,37212,METRO,9403,18,1732557.265,652680.6867
82950,7/13/2018,Damage to Property,Callers states trash collection truck hit mailbox and damaged it severly. Neighbor was a witness.,3520 roundwood forest dr,37013,RED RIVER,3504,29,1785874.907,631691.3347
83019,7/15/2018,Trash - Curbside/Alley Missed Pickup,all items were bagged and inside cart,"1504 Elmwood Ave,Nashville,TN 37212,United States",37212,METRO,9403,18,1734597.329,653860.716
83163,7/16/2018,Trash - Backdoor,her cart is by street it wasn't picked up friday and she doesn't want it stinking up[ her house,2921 ironwood dr,37214,RED RIVER,2501,14,1775202.499,665993.732
83182,7/16/2018,Trash - Curbside/Alley Missed Pickup,they do not have alley access has to go on street need to get on route,2103 14th ave n,37208,METRO,9205,2,1729597.966,675184.8829
83337,7/16/2018,Trash - Curbside/Alley Missed Pickup,cart is running over,3034 mossdale dr,37013,RED RIVER,4503,29,1785289.028,633171.0624
83385,7/16/2018,Trash - Backdoor,Backdoor pick up,2921 ironwood dr,37214,RED RIVER,2501,14,1775202.74,665992.9019
83427,7/17/2018,Trash - Curbside/Alley Missed Pickup,truck came before 7am,"3373 Hospital Ln, Nashville, TN 37218, United States",37218,RED RIVER,4202,1,1718407.624,675258.2847
83508,7/17/2018,Trash - Curbside/Alley Missed Pickup,"When the people pick up my trash, they reach in and grab the top bag or two.  They do not empty the can totally and there is trash accumulating in the bottom of the bin and it smells bad.  Please ask them to dump the bin to remove all the trash.  Thank you!",3611 Meadowbrook Ave,37205,METRO,9307,24,1723969.353,657883.6412
83636,7/17/2018,Trash Collection Complaint,"Was told the trash/truck would use a plug to keep liquid from spilling onto the ground and this happen again today, Tuesday. Now there's all kinds of liquid/oil and glass on the ground.",701 N 5th Ct,37207,METRO,9202,5,1743352.283,674288.0376
83639,7/17/2018,Trash - Backdoor,"Caller has backdoor"" and want to file a complaint trash/men does not get all of the trash/when they have come. They only grab one bag or two and leave the cart half way full and it smells. Tuesday's pickup. {If they stay off there cell phone just maybe they would do there jobs better.",701 N 5th Ct,37207,METRO,9202,5,1743352.283,674288.0376
83680,7/17/2018,Trash - Curbside/Alley Missed Pickup,DRIVER IS ONLY EMPTYING ONE OF HER TRASH CARTS NEED TO EMPTY BOTH COME BACK AND GET,"3216 Holland Ln, Nashville, TN 37218, United States",37218,RED RIVER,4204,1,1719865.383,673618.2098
83686,7/17/2018,Trash Collection Complaint,Caller says trash crew collected her trash then left cart in the middle of street. This is not the first time it has happened.,141 haynes park dr,37218,RED RIVER,3204,1,1722362.502,684112.7192
83692,7/17/2018,Trash Collection Complaint,Caller says that trash collection crew is only taking a few bags out of cart and not completely emptying the cart. This is not the first time this has happened. They have left trash in the cart 3 times prior.,2211 18th ave n,37208,METRO,9205,2,1728752.332,676608.1021
83702,7/17/2018,Trash Collection Complaint,"WANTS A CALL BACK  ---dumped trash cart and left trash in cart. after the truck left, there was a bag of trash hanging outside of the cart and another trash bag left inside the cart; cust says it is common for trash to still be left in the cart",331 hancock st,37207,METRO,9202,5,1742583.534,674464.9024
83741,7/17/2018,Damage to Property,Caller states neighbors called her at work to let her know the trash collection truck hit her brick mailbox and knocked it in the ditch in front of her home. Caller got home to find the mailbox in the ditch.,754 Moormans Arm Rd,37207,RED RIVER,3205,2,1727826.97,686124.772
83912,7/18/2018,Damage to Property,"Trash collection truck hit mailbox, denting mailbox so now it won't stay closed also broke post. Has pictures if needed. Please call.",1307 stratford ave,37216,RED RIVER,2205,7,1754963.258,685310.9547
84011,7/18/2018,Trash - Curbside/Alley Missed Pickup,has 4 carts,"2908 Clare Ave, Nashville, TN 37209, United States",37209,WASTE IND,3307,21,1726029.305,666696.86
84028,7/18/2018,Trash Collection Complaint,file complaint trash/men is leaving her cart far away from where it needs to be trash - backdoor,110 Dodge Dr,37210,RED RIVER,4303,16,1753536.97,651264.7373
84049,7/18/2018,Trash Collection Complaint,trash bags was taken out of cart by the crew and place in front of her car on the street,2907 clifton ave,37209,WASTE IND,3307,21,1725488.189,665593.1093
84059,7/18/2018,Trash - Curbside/Alley Missed Pickup,Cart sits on Boview- needs cart emptied.,"3921 Vailwood Dr, Nashville, TN 37215, United States",37215,RED RIVER,3304,34,1723020.76,646753.8603
84162,7/19/2018,Trash - Curbside/Alley Missed Pickup,Cart was out Wed night.,4925 Monterey Dr,37220,RED RIVER,2403,26,1743697.933,633600.0948
84170,7/19/2018,Trash - Curbside/Alley Missed Pickup,happening too often,"900 Glendale Ln, Nashville, TN 37204, United States",37204,RED RIVER,3302,25,1735724.279,641421.9891
84211,7/19/2018,Trash Collection Complaint,Caller states when trash collection truck picked up trash this morning there was a lot of trash coming out of truck and left on street from 12th Ave S to Belmont Blvd,1209 dallas ave,37212,METRO,9402,18,1734834.734,652251.0982
84296,7/19/2018,Trash - Backdoor,,"253 Sundown Dr, Antioch, TN 37013, USA",37013,,,31,1770223.631,613320.9432
84315,7/19/2018,Damage to Property,"Wednesday's trash pickup and caller states trash/truck damage her vehicle's back door/it's Honda Civi LX 2016. Hugh dent on her back door. Caller states this happen as they where picking up trash.  Car was parked on side of road, street parking. Ketori Campbell 615-752-8863. Wants a call back.",607 28th ave n,37209,METRO,9304,21,1726737.747,664895.1854
84376,7/19/2018,Trash - Curbside/Alley Missed Pickup,WHY DOES THIS KEEP HAPPENING!!!! PLEASE GET IT TOGETHER!! I'M SICK OF SUBMITTING THESE REQUESTS EVERY WEEK.  WTF GUYS?!?!?!,870 Sharpe Ave,37206,METRO,9203,5,1745287.878,676943.4938
84388,7/20/2018,Trash - Curbside/Alley Missed Pickup,"Curbside trash needs emptied, someone dump a lot of garbage inside her cart, she called police to see what was inside cart, they told her it was only garbage and go ahead and call public works to emptied cart.",814 Horner Ave A,37204,METRO,9404,17,1738873.471,652149.2798
84465,7/20/2018,Trash Collection Complaint,"THIS IS NOT A COMPLAINT** Customer wants to Pay a COMPLIMENT to RED RIVER"" for doing a good job on trash/pickup.",422 Munn Rd,37214,RED RIVER,1503,15,1773637.622,669451.7384
84602,7/20/2018,Trash Collection Complaint,where does the cart need to set for pickup,1409 12th ave s,37203,METRO,9407,17,1735798.883,658388.098
84624,7/20/2018,Trash Collection Complaint,cart was knocked over in street and she cant pick it up,"1105 Mary Evelyn Ct, Nashville, TN 37217, United States",37217,RED RIVER,3501,29,1787780.27,637278.0412
84639,7/20/2018,Trash - Curbside/Alley Missed Pickup,didnt get this side of street he got in his car trying to find trash truck,"4912 Secretariat Dr, Nashville, TN 37013, United States",37013,RED RIVER,3504,33,1786402.778,629753.109
84695,7/20/2018,Trash - Curbside/Alley Missed Pickup,They haven?t taken it for two weeks so it is smelling and attracting animals,1907 Electric Ave,37206,METRO,9508,6,1750929.163,668329.0344
84708,7/21/2018,Trash - Curbside/Alley Missed Pickup,Trash wasn?t collected last 2 Friday?s 7/13 & 7/20,1415 Roberts Ave,37206,WASTE IND,2506,6,1749912.554,676262.0073
84873,7/23/2018,Trash - Curbside/Alley Missed Pickup,***Address is 123 37th Ave. N. but driveway (where trash can is) is on Nebraska***,123 37TH AVE N,37209,WASTE IND,2308,24,1723660.807,659454.2316
84874,7/23/2018,Trash - Curbside/Alley Missed Pickup,***Address is 123 37th Ave. N. but driveway (where trash can is) is on Nebraska***,123 37th Ave N,37209,WASTE IND,2308,24,1723659.685,659453.1227
84901,7/23/2018,Trash - Curbside/Alley Missed Pickup,Trash was supposed to be p/u on Friday and they didn't get it.,500 Owendale Dr,37013,RED RIVER,3505,29,1784624.67,635695.1975
84925,7/23/2018,Trash - Curbside/Alley Missed Pickup,it was out facing the street.,2925 Wilford Pack Dr,37013,RED RIVER,3505,29,1786889.142,633893.6953
84945,7/23/2018,Trash Collection Complaint,cart stays on alley trash in the recycle cart,"3417 Dakota Ave, Nashville, TN 37209, United States",37209,WASTE IND,2308,24,1724765.245,661697.2233
84992,7/23/2018,Damage to Property,Trash truck came thru the alley on Firday and hit customer Gate and Bird feeder and Knocked them back up into the yard.  Tire tracks are still present from the truck. She would like a call when someone is coming out at 615-578-2000,64 cannon st,37210,WASTE IND,4507,19,1744858.534,662477.7
85017,7/23/2018,Trash - Curbside/Alley Missed Pickup,box truck was blocking trash man,"717 Candlecreek Way, Nashville, TN 37013, United States",37013,RED RIVER,4510,32,1786790.181,619208.7129
85158,7/24/2018,Trash Collection Complaint,cart is always set somewhere else and knocked over set it back down where you pick it up from. Tuesday's pickup. Just make sure cart is set back where they pickup. She's elderly and not able to pickup if place else where.,2861 old matthews rd,37207,WASTE IND,2206,2,1733925.161,685812.4606
85229,7/24/2018,Trash - Curbside/Alley Missed Pickup,on side street,"6000 Charlotte Pike, Nashville, TN 37209, United States",37209,RED RIVER,2301S,20,1712840.461,662031.0814
85353,7/24/2018,Trash Collection Complaint,Trash collector is dropping that carts on the street. He is causing damage to them and also leaving them in the middle of the street laying on their side. Would like for the driver to leave the carts upright.,"1127 Ardee Ave, Nashville, TN 37216, United States",37216,RED RIVER,2205,7,1754541.587,687184.9622
85373,7/24/2018,Trash - Curbside/Alley Missed Pickup,I watched the trash man drive right by our house without stopping today...  The can was outside at the street in the same location we always place it on Tuesdays.,215 6th ave n,37219,,,19,1737605.932,666928.1008
85380,7/24/2018,Trash - Curbside/Alley Missed Pickup,Every week for the last 2weeks it either doesn't get picked up or it gets moved like it was picked up and put across the street which is a empty nasty lot but even then the trash doesn't get emptied,1509 22nd Ave N,37208,METRO,9201,21,1728866.894,670687.1431
85383,7/24/2018,Trash - Curbside/Alley Missed Pickup,Everyone else's trash was picked up except ours units A & B,807 Crockett St B,37207,METRO,9203,5,1745291.431,678892.7629
85459,7/25/2018,Trash - Curbside/Alley Missed Pickup,cart at curb,"1400 Ardee Ave, Nashville, TN 37216, United States",37216,RED RIVER,2205,7,1756861.749,685301.01
85480,7/25/2018,Trash - Curbside/Alley Missed Pickup,cart stays on alley cardboard box is trash not recyclable,"4604 Utah Ave, Nashville, TN 37209, United States",37209,WASTE IND,2306,24,1719773.922,660390.3818
85545,7/25/2018,Trash - Curbside/Alley Missed Pickup,cart is at pool house,3720 huntingboro trl,37013,RED RIVER,3503,33,1793005.614,632813.95
85605,7/25/2018,Trash - Curbside/Alley Missed Pickup,driver doesnt go to deadend,"3306 Curtis St, Nashville, TN 37218, United States",37218,RED RIVER,4202,2,1722640.7,680929.4983
85615,7/25/2018,Trash - Curbside/Alley Missed Pickup,Trash/Cart squeezed by trash/truck and did not service/emptied cart. Wants cart emptied.  Visible to curb,616 Twin Oaks Ct,37211,RED RIVER,4303,16,1756022.146,644999.4339
85672,7/25/2018,Trash - Curbside/Alley Missed Pickup,one side of the street was picked up but not my side of the street,4004 Kennedy Ave,37216,RED RIVER,2205,7,1756356.936,686111.9029
85697,7/25/2018,Trash Collection Complaint,cust is upset that trash was spilled out into the street during the pickup,1900 port james cir,37013,RED RIVER,4310,33,1795515.517,624291.105
85717,7/25/2018,Trash - Curbside/Alley Missed Pickup,not sure why but my trash can is out there and it is full. i have nothing outside of it or leaning against it.,918 Bresslyn Rd,37205,RED RIVER,1305,23,1704203.28,655223.1911
85727,7/26/2018,Trash - Curbside/Alley Missed Pickup,only got one side of street,"616 Elaine Dr, Nashville, TN 37211, United States",37211,RED RIVER,4302,26,1746516.008,637820.254
85780,7/26/2018,Trash - Backdoor,cart stays out,"92 Oriel Ave, Nashville, TN 37210, United States",37210,RED RIVER,4301,16,1750146.164,652000.2895
85803,7/26/2018,Trash - Backdoor,cart stays out and neighbors also,6609 rolling fork dr,37205,RED RIVER,1304,23,1699652.439,642290.8828
85909,7/26/2018,Trash Collection Complaint,"For the third week in a row the trash truck from Red River Waste Solutions has been leaking gallons of oil in the streets along the Caldwell-Abbay Hall Neighborhood specifically Elaine Drive, Lynn Drive, Abbay Drive, Inwood and Coventry.",553 Elaine Dr,37211,RED RIVER,4302,26,1747903.222,637406.1022
85910,7/26/2018,Trash Collection Complaint,need to cleanup after they drop trash,"302 Rose St, Nashville, TN 37210, United States",37210,WASTE IND,4406,16,1748456.897,652442.4149
85914,7/26/2018,Trash Collection Complaint,fluids from trash truck stinks and it is running down street,411 broadway,37203,Metro,,19,1738968.954,666025.8988
85916,7/26/2018,Trash - Curbside/Alley Missed Pickup,"this is the 6th straight week where i have had to call or submit a request to get out trash collected.  This is starting to be a bit ridiculous.  If you went to a restaurant and it took them 6 times to get your order correct, how happy would you be. I am paying for this service and its not being done to a satisfactory level, let alone being done at all. Get it together, its literally trash collection.",2301 Foster Ave,37210,WASTE IND,4406,16,1749048.194,651888.3779
85944,7/26/2018,Trash - Curbside/Alley Missed Pickup,Just need it picked up,247 Benzing Rd,37013,RED RIVER,4404,31,1765321.139,624536.8925
85955,7/26/2018,Trash - Curbside/Alley Missed Pickup,This has happened before. Idk why because my trash was beside ask the other trashcans,929 Ilawood Dr,37211,RED RIVER,4403,31,1759502.935,621764.7048
85964,7/26/2018,Trash Collection Complaint,"Caller upset because Metro Truck #9402 is using there lot to make a turn, truck comes from the alley and they have plenty of space to make the turn with help of a guy that gets out, but they are lazy and they do not want to get off truck. So truck is going into the newly repaved and does not want Metro going into there lot to turn around. Behind alley way. Talk to driver",3205 Granny White Pike,37204,METRO,9402,18,1734738.248,650737.688
86033,7/26/2018,Trash - Curbside/Alley Missed Pickup,Second week in a row where our neighbors trash was picked up but not ours.  We have been putting out trash the same way for the past 6 months.  Always out the night before in the same place,906 15th Ave S,37212,METRO,9407,19,1735328.843,661249.6407
86133,7/27/2018,Trash - Curbside/Alley Missed Pickup,"trash did not get emptied all the way, they only took 1 or 2 bags leaving trash/cart full. Wants cart emptied. Curbside",2711 hazelwood dr,37212,METRO,9402,18,1731485.792,652758.6215
86149,7/27/2018,Trash - Curbside/Alley Missed Pickup,Trash pickup scheduled for Wednesday and has yet to be picked up.,1607 56th Ave N,37209,METRO,9302,20,1715815.535,668045.0092
86252,7/27/2018,Damage to Property,truck damaged the fence around the dumpster on dumpster drive,78 charles e davis blvd,37210,,,19,1742815.062,662941.255
86258,7/27/2018,Trash Collection Complaint,"Truck knocking over trash/carts over the driveways, not able to get into there driveway. Talk to drivers about this matter.",4104 Lancashire Dr,37013,RED RIVER,3502,33,1792305.693,635948.6087
86306,7/27/2018,Trash - Backdoor,extra backdoor pickup,4411 soper ave,37204,RED RIVER,3302,25,1735743.534,640516.0945
86321,7/27/2018,Trash Collection Complaint,The trash truck is leaking LARGE amounts of oil on the road each week for several weeks now!,327 Gaywood Dr,37211,RED RIVER,4302,26,1748721.092,636329.2307
86322,7/27/2018,Trash - Curbside/Alley Missed Pickup,Several of our neighbors didn?t have their trash picked up either so I don?t think garbage collection went through our neighborhood on their route.,2225 Dale View Dr,37013,RED RIVER,4504,32,1778714.644,625097.2414
86474,7/30/2018,Trash - Curbside/Alley Missed Pickup,"No one's trash/pickup last Friday, all carts sitting by curbside.",2205 Dale View Dr,37013,RED RIVER,4504,32,1778477.181,625225.2797
86620,7/30/2018,Trash Collection Complaint,Carts full of trash,"3208 Leswood Ln, Nashville, TN 37207, United States",37207,RED RIVER,2202,3,1739523.29,693943.6363
86768,7/31/2018,Trash - Curbside/Alley Missed Pickup,cart  still out,"1868 Wild Oaks Ct, Nashville, TN 37013, United States",37013,RED RIVER,4504,32,1778258.389,625265.305
86825,7/31/2018,Trash Collection Complaint,customer says the trash truck took her cart again. Says that she needs her cart and that the trash guys need to stop taking them. Would like to speak to someone.,2424 batavia st,37208,METRO,9303,21,1728359.889,666479.8245
86922,7/31/2018,Trash Collection Complaint,Trash collector on Fern Ave has been leaving the carts in the roadway he went over the hill and actually hit one of the trash cans.,103 Fern Ave,37207,RED RIVER,3202,2,1738750.171,679024.1884
86929,7/31/2018,Trash Collection Complaint,States that driver rushes through the collection and leaves trash all in the roadway. As he was on the phone with me he seen a car drive by and run over a bag of trash. He said he needs them to clean the roadway and do a better job.,"522 Norton Ave, Nashville, TN 37207, United States",37207,METRO,9206,5,1745800.315,682893.3813
86964,7/31/2018,Trash Collection Complaint,Caller states trash truck had foam packing peanuts blowing out of collection truck which blew all into his yard.,343 edith ave,37207,METRO,9204,5,1743485.133,681032.1023
86974,7/31/2018,Trash Collection Complaint,cart was only half emptied. customer us to come back and empty all of the trash,3201 kings ln,37218,RED RIVER,3203,1,1724646.31,687698.1728
87019,7/31/2018,Trash Collection Complaint,"caller states she watched a member of the collection crew kicked the cart around in neighbors yard and abuse the cart, then picked the cart up and placed it back. Caller says the residents that live there are elderly. They also left trash in cart. All took place at 906 Blue Ridge Dr.",905 blue ridge dr,37207,METRO,9202,5,1746029.107,679274.818
87075,8/1/2018,Trash - Curbside/Alley Missed Pickup,"Citrus Drive & Paragon Mills. 2 trash cans But, curb & only one gets emptied.",4801 Citrus Dr,37211,RED RIVER,1405,26,1758140.101,639201.8326
87115,8/1/2018,Trash - Curbside/Alley Missed Pickup,"Driver is only emptying one of her two trash/carts seems to be every week, that customer has to call into center in order to get 2nd trash/cart emptied. This matter has to be corrected and talk to driver. Curbside wants 2nd trash/empty.",3216 Holland Ln,37218,RED RIVER,4204,1,1719841.132,673610.502
87184,8/1/2018,Trash - Curbside/Alley Missed Pickup,cart still,"5418 Illinois Ave, Nashville, TN 37209, United States",37209,RED RIVER,4201,20,1716275.898,664999.9156
87246,8/1/2018,Trash Collection Complaint,"Resident says he called for an extra pick up and received and email stating that the ticket had been closed stating ""serviced"". Caller said he was not serviced and his trash is still out. Since his trash day is Thursday caller understood there was no reason to submit a 2nd request.",1200 cedar ln,37212,METRO,9402,18,1734844.823,651316.2059
87412,8/2/2018,Trash - Curbside/Alley Missed Pickup,No one pickup trash unit-C {curbside} Tuesday,3215 Resha Ln C,37218,RED RIVER,4204,2,1722871.532,678918.5009
87471,8/2/2018,Trash Collection Complaint,"In addition to these trucks dumping oil, I witnessed an R&R truck #E85 on I440 traveling toward I65 spewing trash from the top of the truck apparently over flowing and unable to contain its contents.",Lynn Dr,37211,RED RIVER,4302,26,1747383.259,637224.1818
87594,8/2/2018,Trash - Curbside/Alley Missed Pickup,The truck went by the other street but did not turn the corner like it usually does.,"6001 Deer Trce, Nashville, TN 37211, United States",37211,RED RIVER,4402,4,1751322.638,620318.7945
87601,8/2/2018,Damage to Property,Damaged fence and left the cart tipped over without collecting it. Needs a call from a supervisor.,105 Evelyn Dr,37210,WASTE IND,4407,16,1749654.281,652604.4236
87631,8/2/2018,Trash - Curbside/Alley Missed Pickup,Can was out and visable truck only picked up opposite side of street.,419 McCain Dr,,RED RIVER,3401,,34968915.61,2204381.394
87648,8/3/2018,Trash - Curbside/Alley Missed Pickup,This is the 2nd time in the past few months this has happened.,1817 5th Ave N B,,WASTE IND,3207,,34968915.04,2204381.473
87721,8/3/2018,Trash Collection Complaint,cart fell off armo into street and now trash is everywhere,"221 Manatee Ct, Nashville, TN 37013, United States",,RED RIVER,4501,,34968915.71,2204381.576
